Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb,,,,,,,,,
--------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ref Name,Component,Value,Package,MPN,,,,,
R16,resistor,2k,1206Standard,RC1206FR-072KL,,,,,
R102,resistor,2.7,1210,SG73P2ETTD2R70F,,,,,
R37,resistor,2.7,1210,SG73P2ETTD2R70F,,,,,
R52,resistor,2.7,1210,SG73P2ETTD2R70F,,,,,
R72,resistor,2.7,1210,SG73P2ETTD2R70F,,,,,
R75,resistor,2.7,1210,SG73P2ETTD2R70F,,,,,
R100,resistor,2.7,1210,SG73P2ETTD2R70F,,,,,
R111,resistor,2.8k,1206Standard,RC1206FR-072K8L,,,,,
R15,resistor,3k,1206Standard,RK73H2BTTD3001F,,,,,
R24,resistor,3k,1206Standard,RK73H2BTTD3001F,,,,,
R61,resistor,3k,1206Standard,RK73H2BTTD3001F,,,,,
R66,resistor,3k,1206Standard,RK73H2BTTD3001F,,,,,
R80,resistor,3k,1206Standard,RK73H2BTTD3001F,,,,,
R87,resistor,3k,1206Standard,RK73H2BTTD3001F,,,,,
R3,resistor,3.3Ohm 1w,R0800,PCF1C3R3K,,,,,
R4,resistor,3.3Ohm 1w,R0800,PCF1C3R3K,,,,,
R6,resistor,3.3Ohm 1w,R0800,PCF1C3R3K,,,,,
R5,resistor,3.3Ohm 1w,R0800,PCF1C3R3K,,,,,
R7,resistor,3.3Ohm 1w,R0800,PCF1C3R3K,,,,,
R8,resistor,3.3Ohm 1w,R0800,PCF1C3R3K,,,,,
R10,resistor,3.3Ohm 1w,R0800,PCF1C3R3K,,,,,
R9,resistor,3.3Ohm 1w,R0800,PCF1C3R3K,,,,,
R11,resistor,3.3Ohm 1w,R0800,PCF1C3R3K,,,,,
R12,resistor,3.3Ohm 1w,R0800,PCF1C3R3K,,,,,
R14,resistor,3.3Ohm 1w,R0800,PCF1C3R3K,,,,,
R13,resistor,3.3Ohm 1w,R0800,PCF1C3R3K,,,,,
R103,resistor,3.92k,1206Standard,RC1206FR-073K92L,,,,,
R104,resistor,4.7k,1206Standard,RC1206FR-074K7L,,,,,
R51,resistor,4.7k,1206Standard,RC1206FR-074K7L,,,,,
R65,resistor,4.7k,1206Standard,RC1206FR-074K7L,,,,,
R43,resistor,4.7k,1206Standard,RC1206FR-074K7L,,,,,
R76,resistor,4.7k,1206Standard,RC1206FR-074K7L,,,,,
R73,resistor,4.7k,1206Standard,RC1206FR-074K7L,,,,,
R57,resistor,4.7k,1206Standard,RC1206FR-074K7L,,,,,
R49,resistor,4.7k,1206Standard,RC1206FR-074K7L,,,,,
R67,resistor,4.7k,1206Standard,RC1206FR-074K7L,,,,,
R20,resistor,4.7k,1206Standard,RC1206FR-074K7L,,,,,
R26,resistor,4.7k,1206Standard,RC1206FR-074K7L,,,,,
R107,resistor,10,1210,ESR25JZPF10R0,,,,,
R31,resistor,10,1210,ESR25JZPF10R0,,,,,
R54,resistor,10,1210,ESR25JZPF10R0,,,,,
R70,resistor,10,1210,ESR25JZPF10R0,,,,,
R77,resistor,10,1210,ESR25JZPF10R0,,,,,
R95,resistor,10,1210,ESR25JZPF10R0,,,,,
R30,resistor,10k,1206Standard,RC1206FR-0710KL,,,,,
R23,resistor,10k,1206Standard,RC1206FR-0710KL,,,,,
R63,resistor,10k,1206Standard,RC1206FR-0710KL,,,,,
R110,resistor,10k,1206Standard,RC1206FR-0710KL,,,,,
R17,resistor,10k,1206Standard,RC1206FR-0710KL,,,,,
R28,resistor,10k,1206Standard,RC1206FR-0710KL,,,,,
R56,resistor,10k,1206Standard,RC1206FR-0710KL,,,,,
R68,resistor,10k,1206Standard,RC1206FR-0710KL,,,,,
R79,resistor,10k,1206Standard,RC1206FR-0710KL,,,,,
R91,resistor,10k,1206Standard,RC1206FR-0710KL,,,,,
R58,resistor,10k,1206Standard,RC1206FR-0710KL,,,,,
R69,resistor,10k,1206Standard,RC1206FR-0710KL,,,,,
R112,resistor,22k,1206Standard,RC1206FR-0722KL,,,,,
R92,resistor,27k,1210Standard,RC1210FR-0727KL,,,,,
R90,resistor,27k,1210Standard,RC1210FR-0727KL,,,,,
R89,resistor,27k,1210Standard,RC1210FR-0727KL,,,,,
R94,resistor,27k,1210Standard,RC1210FR-0727KL,,,,,
R99,resistor,27k,1210Standard,RC1210FR-0727KL,,,,,
R97,resistor,27k,1210Standard,RC1210FR-0727KL,,,,,
R88,resistor,27k,1210Standard,RC1210FR-0727KL,,,,,
R86,resistor,27k,1210Standard,RC1210FR-0727KL,,,,,
R96,resistor,27k,1210Standard,RC1210FR-0727KL,,,,,
R93,resistor,27k,1210Standard,RC1210FR-0727KL,,,,,
R109,resistor,47k,1206Standard,RC1206FR-0747KL,,,,,
R32,resistor,47k,1206Standard,RC1206FR-0747KL,,,,,
R55,resistor,47k,1206Standard,RC1206FR-0747KL,,,,,
R71,resistor,47k,1206Standard,RC1206FR-0747KL,,,,,
R78,resistor,47k,1206Standard,RC1206FR-0747KL,,,,,
R98,resistor,47k,1206Standard,RC1206FR-0747KL,,,,,
